2026-04-13 00:04:32.719 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2026-04-13 13:17:10.149 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'nacosConfigManager' of type [com.alibaba.cloud.nacos.NacosConfigManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [nacosAnnotationProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-13 13:17:15.942 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'forget:pwd:email:code' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:15.944 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'login' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:15.944 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'register' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:15.944 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'forget:pwd:email:code' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:15.946 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'login' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:15.946 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'register' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:17:18.262 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'
2026-04-13 13:18:39.174 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:18:39.174 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:18:44.074 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:18:44.074 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:18:50.599 [http-nio-8080-exec-4] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:18:50.599 [http-nio-8080-exec-4] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:06.385 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:06.386 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:18.879 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:18.879 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:18.891 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:18.891 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:18.954 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:18.955 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:18.967 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:18.967 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:19:19.841 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:19:19.841 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:22:40.490 [http-nio-8080-exec-8] WARN  com.example.XSJ.utils.EmailVerifyUtils - 邮箱1679002571@qq.com的验证码验证失败，输入：123456，实际：864890
2026-04-13 13:22:53.642 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:22:53.642 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:23:16.323 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:23:16.323 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:29:12.438 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:29:12.438 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:29:34.996 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:29:34.996 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:30:02.804 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:30:02.804 [http-nio-8080-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:30:15.495 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:30:15.496 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:41:17.103 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:41:17.103 [http-nio-8080-exec-10] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:41:24.483 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:41:24.483 [http-nio-8080-exec-1] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:43:33.696 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:43:33.696 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:45:58.585 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:45:58.585 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:55:38.572 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:55:38.572 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:58:01.665 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 13:58:01.666 [http-nio-8080-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 13:59:02.068 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-04-13 13:59:02.068 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-04-13 13:59:02.069 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2026-04-13 13:59:02.069 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-04-13 13:59:02.069 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2026-04-13 13:59:02.070 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2026-04-13 13:59:02.073 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-04-13 13:59:02.073 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2026-04-13 13:59:02.073 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-04-13 13:59:02.075 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-04-13 13:59:02.076 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2026-04-13 13:59:02.081 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2026-04-13 13:59:15.348 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.cloud.nacos.NacosConfigAutoConfiguration' of type [com.alibaba.cloud.nacos.NacosConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [nacosAnnotationProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-04-13 13:59:15.352 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'nacosConfigProperties' of type [com.alibaba.cloud.nacos.NacosConfigProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [nacosAnnotationProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-13 13:59:15.424 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'nacosConfigManager' of type [com.alibaba.cloud.nacos.NacosConfigManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [nacosAnnotationProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-13 13:59:19.019 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'forget:pwd:email:code' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:59:19.020 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'login' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 13:59:19.020 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'register' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 14:13:58.145 [http-nio-8080-exec-6] WARN  org.apache.catalina.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [217] milliseconds.
2026-04-13 14:13:58.976 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 14:13:58.976 [http-nio-8080-exec-6] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 14:28:00.296 [http-nio-8080-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public reactor.core.publisher.Flux<com.example.XSJ.Pojo.Ai.AiChatStreamResponse> com.example.XSJ.Controller.Ai.AiController.streamChat(com.example.XSJ.Pojo.Ai.AiChatRequest): [Field error in object 'aiChatRequest' on field 'content': rejected value []; codes [NotBlank.aiChatRequest.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [aiChatRequest.content,content]; arguments []; default message [content]]; default message [提问内容不能为空]] ]
2026-04-13 14:50:26.187 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 14:50:26.187 [http-nio-8080-exec-8] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 14:51:42.971 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Ignoring exception, response committed already: org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png'
2026-04-13 14:51:42.971 [http-nio-8080-exec-5] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotWritableException: No converter for [class com.example.XSJ.Pojo.Result] with preset Content-Type 'image/png']
2026-04-13 14:52:01.782 [http-nio-8080-exec-9] WARN  com.example.XSJ.utils.Video.VideoGet - 数字绘画类型下无有效池ID，跳过该类型处理
2026-04-13 14:52:01.783 [http-nio-8080-exec-9] WARN  com.example.XSJ.utils.Video.VideoGet - 其他类型下无有效池ID，跳过该类型处理
2026-04-13 14:52:01.783 [http-nio-8080-exec-9] WARN  com.example.XSJ.utils.Video.VideoGet - 视频剪辑类型下无有效池ID，跳过该类型处理
2026-04-13 14:52:01.783 [http-nio-8080-exec-9] WARN  com.example.XSJ.utils.Video.VideoGet - Python编程类型下无有效池ID，跳过该类型处理
2026-04-13 15:09:09.513 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-04-13 15:09:09.513 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2026-04-13 15:09:09.513 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-04-13 15:09:09.513 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-04-13 15:09:09.514 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2026-04-13 15:09:09.516 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2026-04-13 15:09:16.880 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.cloud.nacos.NacosConfigAutoConfiguration' of type [com.alibaba.cloud.nacos.NacosConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [nacosAnnotationProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-04-13 15:09:16.886 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'nacosConfigProperties' of type [com.alibaba.cloud.nacos.NacosConfigProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [nacosAnnotationProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-13 15:09:16.957 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'nacosConfigManager' of type [com.alibaba.cloud.nacos.NacosConfigManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [nacosAnnotationProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-13 15:09:21.083 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'forget:pwd:email:code' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 15:09:21.085 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'login' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 15:09:21.085 [main] WARN  i.m.c.instrument.binder.cache.CaffeineCacheMetrics - The cache 'register' is not recording statistics. No meters except 'cache.size' will be registered. Call 'Caffeine#recordStats()' prior to building the cache for metrics to be recorded.
2026-04-13 15:11:08.024 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2026-04-13 15:11:08.024 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-04-13 15:11:08.024 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-04-13 15:11:08.025 [Thread-49] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-04-13 15:11:08.025 [Thread-1] WARN  c.alibaba.nacos.common.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2026-04-13 15:11:08.025 [Thread-14] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
